"airnbn.test.id" "airnbn.test.price" "exp.predTest." "residuals"
32434711 250 192.646061896778 57.3539381032219
38386117 125 159.804658064276 -34.8046580642762
39551462 350 259.822314914218 90.1776850857817
7919372 80 118.890056171774 -38.8900561717741
21219737 60 88.3295931885086 -28.3295931885086
31852788 149 185.003367514142 -36.0033675141418
34366162 128 158.677064660769 -30.6770646607688
21034242 199 231.519944788846 -32.5199447888463
30819021 150 219.936227134997 -69.9362271349966
38674685 249 251.006174232739 -2.00617423273872
33902619 81 123.343042825094 -42.343042825094
23270879 100 133.436077568713 -33.4360775687125
21822611 100 145.270758400899 -45.2707584008988
22410359 80 133.436077568713 -53.4360775687125
7452390 75 143.623339566341 -68.6233395663411
20616888 48 89.5996238593287 -41.5996238593287
33957038 90 144.099440808782 -54.0994408087821
21471540 25 98.4163316087597 -73.4163316087597
4170796 131 130.656285085245 0.343714914754543
31032487 18 75.0130805488632 -57.0130805488632
16430924 137 118.890056171774 18.1099438282259
39198133 349 184.873665134458 164.126334865542
37352891 79 110.176993080715 -31.1769930807149
24206044 195 138.773512279565 56.2264877204347
28787365 53 119.591121161893 -66.5911211618933
36735569 48 80.1664007325804 -32.1664007325804
38547653 65 99.4115653876889 -34.4115653876889
29676417 39 275.641278625823 -236.641278625823
32857378 90 106.199333145837 -16.1993331458367
39560637 85 158.882097495854 -73.8820974958536
26897811 82 149.82853562074 -67.8285356207402
6260442 322 251.655169273953 70.3448307260471
40158014 75 95.4226453973755 -20.4226453973755
29994325 400 200.797532013578 199.202467986422
287481 120 138.082423453031 -18.0824234530313
12747434 40 95.4226453973755 -55.4226453973755
39130667 194 231.519944788846 -37.5199447888463
38237586 149 158.212586842899 -9.21258684289873
32661291 275 184.731486580005 90.2685134199952
23120062 95 174.920935701768 -79.9209357017679
24246039 153 200.966499422801 -47.9664994228015
894015 107 146.558214290927 -39.5582142909271
21864653 50 129.011060210537 -79.0110602105366
38505498 375 279.378947737361 95.6210522626394
7411421 109 202.177826381534 -93.177826381534
9489073 111 131.987861566955 -20.9878615669551
33884349 35 85.9388858701189 -50.9388858701189
1332612 52 99.4115653876889 -47.4115653876889
39755361 299 214.418548291442 84.5814517085579
19348689 125 196.247597904661 -71.2475979046612
35373350 250 147.512072970345 102.487927029655
22453527 150 196.247597904661 -46.2475979046612
5414471 129 133.436077568713 -4.43607756871251
33294626 250 238.633010651195 11.3669893488048
37290394 275 308.580158917584 -33.5801589175838
35839810 50 85.2369124426304 -35.2369124426304
27759146 62 156.756494571954 -94.7564945719537
27236170 135 130.540036827364 4.45996317263649
39447600 52 84.9395930819339 -32.9395930819339
21698180 37 84.1505804123154 -47.1505804123154
23761707 47 89.600913649718 -42.600913649718
21204708 142 158.677064660769 -16.6770646607688
29874869 55 130.656285085245 -75.6562850852455
24622596 56 145.270758400899 -89.2707584008988
39299540 220 176.583393668304 43.4166063316958
30731304 60 156.756494571954 -96.7564945719537
9574953 200 180.596687645364 19.4033123546362
30369494 69 128.71778358377 -59.7177835837696
37763951 350 231.849154189544 118.150845810456
38900328 350 180.000000337723 169.999999662277
20153406 69 175.488752074905 -106.488752074905
23727923 265 209.659950206403 55.3400497935971
33495663 134 168.427437266886 -34.4274372668863
28422482 40 133.436077568713 -93.4360775687125
30126274 99 103.048901359945 -4.04890135994472
9407719 99 111.291156384532 -12.2911563845321
36594145 299 203.821236261874 95.1787637381263
32697647 135 153.1925594266 -18.1925594266
17682843 85 108.451930767339 -23.4519307673395
36906373 30 78.900996397121 -48.900996397121
34367165 240 203.244934559983 36.7550654400167
8269681 75 117.899034899131 -42.8990348991311
31294112 140 130.914099344469 9.08590065553133
33772218 240 202.764143242099 37.2358567579008
7254952 175 202.638477810399 -27.6384778103994
22309943 59 119.549303376726 -60.5493033767256
34651745 100 103.048901359945 -3.04890135994472
19323884 150 206.806730001139 -56.8067300011395
39313386 45 95.5740779478697 -50.5740779478697
26182774 125 130.656285085245 -5.65628508524546
35461373 47 106.78821009483 -59.7882100948303
38699973 50 79.4548183742407 -29.4548183742407
37202760 65 80.3708527393606 -15.3708527393606
31894643 110 157.55435703227 -47.5543570322704
11574785 95 142.746573317321 -47.7465733173212
23148972 110 101.957685347289 8.04231465271128
32667711 182 175.488752074905 6.51124792509509
4399721 50 124.839672206075 -74.8396722060754
26929793 146 143.623339566341 2.37666043365886
17224797 160 160.352665188361 -0.352665188361442
2554749 109 324.832622102229 -215.832622102229
20516112 89 144.099440808782 -55.0994408087821
1808497 75 106.199333145837 -31.1993331458367
34683256 80 162.630480953036 -82.6304809530355
38879682 195 118.890056171774 76.1099438282259
31184876 240 231.860687236308 8.13931276369181
15648008 160 144.099440808782 15.9005591912179
2927005 200 137.416443063602 62.5835569363977
38906302 65 110.176993080715 -45.1769930807149
36139701 69 165.012628621276 -96.012628621276
33215991 73 133.835335615877 -60.8353356158768
20323803 90 162.630480953036 -72.6304809530355
18737220 59 80.3708527393606 -21.3708527393606
33580907 425 191.530793876903 233.469206123097
25813280 70 98.4163316087597 -28.4163316087597
28126530 219 191.530793876903 27.4692061230967
37842610 55 87.1202191846523 -32.1202191846523
28081224 60 104.688945834738 -44.6889458347384
594020 55 108.563838235489 -53.5638382354892
8392929 35 90.8036124376874 -55.8036124376874
30876198 53 138.292620842385 -85.292620842385
26303788 59 101.743462251148 -42.7434622511485
16974 225 247.247962530937 -22.2479625309371
21577856 250 226.853590279683 23.146409720317
30089810 199 190.407054756611 8.59294524338898
25895519 52 116.709595353523 -64.7095953535232
29135220 180 184.873665134458 -4.87366513445815
34600024 155 149.880944939219 5.11905506078116
20235738 92 106.78821009483 -14.7882100948303
22251910 190 180.596687645364 9.40331235463617
10983426 140 108.266758349702 31.7332416502976
25512049 160 133.436077568713 26.5639224312875
4730371 33 99.4115653876889 -66.4115653876889
11420840 65 112.656293107685 -47.6562931076851
36562170 150 119.591121161893 30.4088788381067
728493 70 183.316490149843 -113.316490149843
24608893 89 144.860007358285 -55.8600073582853
29595432 25 140.897203683419 -115.897203683419
28139041 190 130.062521117734 59.9374788822663
18812330 64 110.176993080715 -46.1769930807149
17617905 75 97.7087496326657 -22.7087496326657
30296168 35 84.1505804123154 -49.1505804123154
7462019 125 140.734688650794 -15.7346886507941
29505792 120 113.66755849775 6.33244150224959
39747440 194 213.160523375688 -19.1605233756876
25033384 150 140.60928787455 9.39071212544974
10038823 220 245.421733563398 -25.4217335633976
33009 195 144.099440808782 50.9005591912179
29383019 85 130.656285085245 -45.6562850852455
4572174 75 85.2369124426304 -10.2369124426304
26960958 80 165.139630560351 -85.1396305603511
28369552 98 184.873665134458 -86.8736651344582
25798699 160 179.363730523953 -19.363730523953
11305815 140 127.250727611897 12.749272388103
17270768 160 167.232526969186 -7.23252696918632
27192074 60 95.4226453973755 -35.4226453973755
13980920 380 145.843647673392 234.156352326608
18054268 300 271.819654357626 28.1803456423741
30321542 190 176.368186108704 13.6318138912965
23416448 80 95.4226453973755 -15.4226453973755
37630175 80 101.743462251148 -21.7434622511485
31994 76 124.839672206075 -48.8396722060754
19768107 100 156.587418555871 -56.5874185558706
30939405 235 179.381829397145 55.6181706028551
19363931 87 140.65679273506 -53.6567927350601
34169778 55 88.3295931885086 -33.3295931885086
39054711 175 149.002315471061 25.9976845289388
12110663 82 134.737252137672 -52.7372521376724
33310325 250 151.224410652919 98.7755893470808
38779829 250 202.764143242099 47.2358567579008
29455932 47 77.1656299585017 -30.1656299585017
33995769 190 177.638828529976 12.3611714700243
