id,actual,pred
32036822,60,75.084
31748955,65,54.715
31127267,45,95.655
2879157,125,177.167
26447123,45,56.685
5029202,229,199.501
31834008,130,96.569
4331684,295,333.541
37807497,65,72.892
31884696,32,54.718
1952271,130,163.725
2359340,250,163.183
3208904,89,95.584
33528511,65,108.036
20678183,100,93.714
814616,199,222.985
27160354,72,86.701
21222809,68,57.038
38464110,70,68.698
19734117,180,161.889
34116613,126,137.917
37661818,70,72.624
15131952,80,75.657
29027853,120,74.824
13167017,225,200.967
39033727,129,121.37
15886369,72,113.342
20914711,295,168.899
33931985,195,140.316
10553703,200,277.828
22950209,220,176.54
31309714,140,113.383
37554090,39,37.344
13974993,74,67.988
36908046,157,145.866
29854034,120,160.666
21609824,50,63.365
12050885,52,53.397
31737653,120,151.613
17367175,29,60.099
8024051,150,177.269
27577076,175,233.48
16366928,45,55.385
7774373,260,248.473
31389928,110,113.459
2430828,112,65.191
28050532,89,99.194
8995426,55,69.904
10365373,81,83.528
37453138,350,365.773
6831518,99,93.471
30737105,35,46.4
32802231,130,165.761
34206762,199,194.326
20934059,150,104.52
29631258,50,50.081
31032487,18,38.401
8221965,190,231.331
31106666,55,61.684
32520602,40,55.553
57754,305,247.333
5318322,495,250.346
28364587,451,308.256
37334128,99,73.579
16161888,99,117.7
6185250,85,61.066
33964954,110,169.729
24518005,65,60.436
32781823,115,136.206
25033991,189,248.002
23748601,112,118.2
19315654,150,122.49
6572570,65,51.534
15845669,125,125.718
23996716,200,231.835
18450143,100,163.497
23646295,179,212.216
10996466,64,69.951
5050664,80,119.435
17569080,200,287.416
19136705,100,82.034
37946123,135,138.911
6731373,25,51.358
16154699,130,150.429
31848816,115,120.302
13599973,115,93.919
31212456,70,83.925
2473861,175,253.74
36381909,65,70.595
16132114,33,43.972
38415687,59,73.901
29737168,125,77.43
30445079,189,190.374
34500384,150,172.594
30010324,150,160.665
7983640,300,191.268
31408721,83,131.824
10310874,94,118.204
16427610,140,139.471
14737992,41,74.345
12749156,75,78.315
34814184,75,95.67
38606474,95,122.454
36762249,300,290.373
14028280,250,173.109
37601685,200,241.969
2108178,129,132.219
21170090,100,123.543
12585015,218,211.211
30533273,55,106.042
34175118,150,160.68
28980678,150,199.987
24327546,100,119.827
34120977,305,138.859
34384958,113,122.91
34650619,240,230.84
36379279,299,248.486
65615,130,137.722
21435960,65,70.232
3339399,180,146.118
36596294,65,98.943
35056385,65,64.744
32722262,125,66.749
29516678,100,119.825
28314565,55,57.618
36799131,80,69.324
14995382,50,63.504
7199049,65,44.08
287481,120,139.207
24086704,79,71.386
18424928,210,137.126
19743334,114,74.426
31171802,140,167.109
33961505,80,117.414
31665707,250,198.501
19282527,225,148.537
8287001,41,60.626
14628080,149,129.859
15222972,140,155.11
30525544,185,168.133
19906460,225,232.59
27499097,46,50.522
28635684,150,124.035
18769652,250,158.998
3582816,120,143.177
4730371,33,76.987
35903391,50,63.356
34571306,224,203.664
33009,195,155.844
2501809,55,78.687
31895980,159,190.714
15833471,142,110.313
29825469,99,90.424
32222756,35,55.947
1155885,79,100.431
21540035,110,174.711
33664484,250,187.236
18970683,50,61.376
22715051,119,183.165
32493667,85,60.559
14842991,145,118.514
2454281,86,69.032
8055508,69,76.979
6852315,245,241.574
10941762,395,336.717
16324410,33,45.392
1190223,119,110.134
23537173,175,146.257
28355651,65,64.858
30087377,246,180.378
31053208,55,58.764
38731587,72,85.948
36316748,75,96.108
27579844,339,348.3
37654960,29,29.777
8223230,175,77.217
2033846,95,132.414
35419046,129,183.045
19359445,120,99.295
18599296,168,169.983
40107645,180,253.449
9477489,145,188.443
29903897,50,51.641
3042553,77,107.121
14987516,85,94.616
20194264,120,123.655
24558491,52,64.539
20761296,45,60.421
38757773,50,77.4
38572868,65,65.065
9061331,210,166.321
25155346,70,92.412
23683924,220,143.544
33585504,206,198.814
2524228,49,53.761
23462813,250,254.435
12113879,220,228.31
26257613,175,192.768
5396801,115,136.375
13183672,199,192.653
7415905,125,144.079
2791688,430,275.423
22190967,85,104.643
34150276,70,97.371
7461910,67,135.616
17682208,210,131.463
36069466,202,272.026
457829,210,208.585
36183003,85,79.223
40344826,96,129.457
36172912,179,194.267
101053,100,259.431
28611081,141,182.729
37400410,229,218.825
15663653,79,114.776
38378678,17,19.719
17396669,54,61.93
33826205,270,186.476
9798242,145,192.301
24611661,90,83.729
27389854,150,154.672
28892979,80,76.8
27876953,60,64.218
39278110,80,72.046
29306602,149,211.74
4686821,112,93.708
29155175,139,116.595
20476779,68,57.295
20155633,50,54.389
28096425,89,123.423
22717766,64,91.643
19246634,93,141.138
34222682,50,59.512
67397,122,94.319
13294007,133,125.072
33926074,45,58.86
10022956,50,72.112
37738954,54,53.489
39919408,169,127.036
55982,68,69.723
28628675,150,132.403
21619569,128,182.333
20896858,125,134.81
3565617,175,224.702
24201129,250,206.398
30639972,220,184.657
12386579,50,56.156
26843443,100,97.416
13763512,75,108.165
14822309,65,57.191
19945408,140,133.595
39950097,135,183.566
29687924,95,57.957
20364111,212,211.098
28359529,300,252.416
11715651,175,168.934
33162983,190,302.848
39112662,75,68.367
17809310,40,52.782
35189990,395,387.407
3715824,129,185.775
11676984,165,169.18
30130328,160,176.182
33226517,90,84.785
3953942,115,148.795
5694862,125,80.166
25834067,125,98.996
4129909,80,63.325
29874869,55,90.096
32240076,191,194.259
39731105,299,180.961
15482512,50,57.868
20530001,60,57.339
1703834,64,67.211
18914730,95,88.734
11732848,495,294.0
39448876,150,173.946
38402852,295,287.697
12006770,125,163.945
38783742,72,101.943
35542686,100,66.803
17370778,120,141.504
1112407,158,160.831
24917079,300,207.737
30929887,45,69.61
9882440,369,322.076
31884434,86,97.439
39281912,25,26.184
26362867,70,61.436
19716375,110,97.581
29585551,58,57.601
37323360,149,176.853
28245930,95,121.088
34020020,160,143.53
10136508,55,54.127
36512873,45,153.651
13418942,80,66.964
13037808,220,195.306
25794631,70,66.016
33867882,65,108.144
37052586,200,187.839
39208480,98,112.162
33468884,327,347.91
2123079,120,102.84
34684980,135,131.286
22464295,250,200.427
38019006,80,99.531
35913850,50,67.62
32841690,40,50.231
39341016,43,61.732
5066813,139,191.548
34616078,45,53.293
166172,60,85.081
39387598,25,26.933
23894317,75,58.569
9026479,200,296.771
25327095,75,68.216
29662414,250,190.815
19529637,145,194.053
32702033,80,68.414
25673769,60,59.669
38876112,55,52.901
19247235,116,50.236
7809535,145,160.918
22192407,200,215.805
23810398,65,71.762
18274232,179,133.919
33181402,199,248.237
20744654,125,146.389
11652872,133,141.541
34981452,200,239.044
36381819,99,110.755
15328237,100,89.846
2183423,165,174.549
4661135,70,64.593
2524451,47,55.969
4576206,250,170.76
38434079,250,218.36
8240016,98,127.985
13169181,95,82.847
32409562,40,29.747
37003024,200,192.656
19057073,125,111.208
5549530,99,111.488
19387694,450,318.534
38824682,85,71.122
35754234,50,53.337
18729143,62,81.9
38610842,30,76.321
34396858,199,183.288
28312177,180,210.117
31805784,132,158.655
18041862,100,172.303
10130963,209,159.688
27230758,130,171.862
263190,88,92.03
16273510,98,125.446
31561805,80,87.236
9199020,35,49.929
33434229,87,89.308
26520,125,111.424
10449728,115,191.502
9461669,75,75.256
25799876,50,135.706
276994,90,259.808
18550867,199,232.914
25745070,150,97.836
6180121,69,58.777
15539709,150,181.299
27521122,40,50.08
38604587,300,296.452
11782585,200,187.66
37213303,90,87.524
39072592,250,199.461
35384544,130,198.35
22665286,200,157.438
18455236,94,105.242
6689548,265,272.073
32667711,182,194.015
26925879,67,79.047
28422482,40,76.932
6546016,80,71.909
38261803,95,138.065
34336135,150,73.118
825486,135,223.337
26131195,280,231.344
34508012,120,108.267
23429109,149,107.079
38802035,42,76.165
36000262,125,136.79
25552076,140,148.938
31062827,120,88.322
26475612,120,170.195
30442257,180,133.574
6638539,295,202.954
38138083,85,154.789
29518861,55,61.048
27225719,125,89.221
21982995,150,205.157
33108984,130,131.475
40370819,249,263.076
3601743,180,110.993
807535,79,68.482
27988835,180,249.14
9577968,59,75.994
7555693,75,68.366
1712660,89,78.719
33636449,219,194.793
11086888,140,196.97
29753642,50,56.759
34271296,299,232.823
22670614,70,74.175
4643295,140,206.798
34842168,150,151.968
16709467,206,183.985
32109052,100,122.167
19314011,185,191.979
24391756,145,114.961
